fold,sample_id,base_mof_id,mof_name,target_column,aux_feature,ig_aux_importance
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,pore_volume_cm3_g,0.03642169386148453
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,void_fraction,0.024059660732746124
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,gravimetric_surface_area_m2_g,-0.007928616367280483
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,volumetric_surface_area_m2_cm3,-0.0077467383816838264
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,lcd_A,-0.065129853785038
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,pld_A,-0.09027066081762314
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,density_g_cm3,0.06102587655186653
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,nsites,0.06742100417613983
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,nelements,-0.001106482115574181
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,open_metal_site,0.0
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,has_functional_group,0.003965142648667097
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,mean_electronegativity_diff,0.0009470845106989145
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,mean_atomic_radius_A,-0.0031624024268239737
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,mean_atomic_number,-0.00847022607922554
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,metal_fraction,0.07017546892166138
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,pore_volume_cm3_g,0.036372605711221695
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,void_fraction,0.02433651313185692
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,gravimetric_surface_area_m2_g,-0.0076510291546583176
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,volumetric_surface_area_m2_cm3,-0.008951045572757721
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,lcd_A,-0.06964075565338135
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,pld_A,-0.09116382896900177
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,density_g_cm3,0.06269420683383942
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,nsites,0.06751113384962082
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,nelements,-0.0014535908121615648
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,open_metal_site,-0.0
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,has_functional_group,-0.008398590609431267
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,mean_electronegativity_diff,-0.007027675397694111
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,mean_atomic_radius_A,-0.0011879131197929382
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,mean_atomic_number,-0.0076529192738235
1,finetune_000005_v00,finetune_000005,CuHC4O3,kr_uptake_mmol_g,metal_fraction,0.060246214270591736
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,pore_volume_cm3_g,0.00887551624327898
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,void_fraction,0.014033547602593899
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,gravimetric_surface_area_m2_g,-0.0012875392567366362
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,volumetric_surface_area_m2_cm3,-0.007711458019912243
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,lcd_A,-0.07454854995012283
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,pld_A,-0.10541444271802902
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,density_g_cm3,0.01610765978693962
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,nsites,0.03915591537952423
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,nelements,0.006107276305556297
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,open_metal_site,0.0
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,has_functional_group,-0.018547747284173965
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_kr_selectivity,mean_electronegativity_diff,-0.04344091936945915
