sample_id,base_mof_id,mof_name,source,cif_path,formula,is_augmented,defect_fraction,n_removed,metal_substituted_to,functional_group,noise_sigma_A,augmentation_ops,open_metal_site,has_functional_group,pore_volume_cm3_g,void_fraction,gravimetric_surface_area_m2_g,volumetric_surface_area_m2_cm3,lcd_A,pld_A,density_g_cm3,nsites,nelements,mean_atomic_number,mean_atomic_radius_A,mean_electronegativity_diff,metal_fraction,graf_cif_path,mof_adi_norm,xe_uptake_mmol_g,label_source_xe_uptake_mmol_g,kr_uptake_mmol_g,label_source_kr_uptake_mmol_g,xe_kr_selectivity,label_source_xe_kr_selectivity,i2_uptake_mmol_g,label_source_i2_uptake_mmol_g,eslesme_durumu
finetune_000000_v00,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v00.cif,ZnCrH18C14(N2O)2,False,0.0,0,,,0.0,none,False,False,0.0960454740280064,0.1018516660070818,3.424507411877276e+25,3.6315275517469383e+25,2.2145268798608373,1.2179897839234606,1.0604525308228716,40,6,5.0,0.52125,0.6658995586589784,0.05,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v00.cif,ZNCRH18C14(N2O)2,0.1042426159130218,PROXY_PORE_CORRELATION,0.062219922973532425,PROXY_PORE_CORRELATION,4.064584899717859,PROXY_PORE_CORRELATION,0.05316208733536986,PROXY_PORE_CORRELATION,TAM
finetune_000000_v01,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v01.cif,ZnCrH18C14(N2O)2,True,0.0,0,,,0.0826654127702462,noise,False,False,0.0960454740280064,0.1018516660070818,3.424507411877276e+25,3.6315275517469383e+25,2.2145268798608373,1.2179897839234606,1.0604525308228716,40,6,5.0,0.52125,0.6658995586589784,0.05,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v01.cif,ZNCRH18C14(N2O)2,0.0743183718771787,PROXY_PORE_CORRELATION,0.05982035235304484,PROXY_PORE_CORRELATION,3.7719734535387337,PROXY_PORE_CORRELATION,0.0423988052023854,PROXY_PORE_CORRELATION,TAM
finetune_000000_v02,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v02.cif,CrH14C13N6O,True,0.1737838819862168,7,Mg,-NH2,0.098607366285129,"functional,substitution,defect,noise",False,True,0.229617804832402,0.2003358359282456,8.187037260269659e+25,7.142986818940134e+25,3.105819474188222,1.7082007108035222,0.8724751814192749,35,5,4.742857142857143,0.5285714285714286,0.6233586447623871,0.0285714285714285,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v02.cif,ZNCRH18C14(N2O)2,0.27959212097282493,PROXY_PORE_CORRELATION,0.18542851214566922,PROXY_PORE_CORRELATION,4.9540141485275955,PROXY_PORE_CORRELATION,0.22110276610316182,PROXY_PORE_CORRELATION,TAM
finetune_000000_v03,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v03.cif,CrCoH17C16(N2O)2,True,0.0473235095498032,1,Co,-CH3,0.0325377619603728,"functional,substitution,defect,noise",False,True,0.0452397643617789,0.05,1.6130266411441542e+25,1.7827531419537286e+25,1.551607569587104,1.2,1.1052223791475533,41,6,5.073170731707317,0.5365853658536585,0.6256840700829417,0.048780487804878,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v03.cif,ZNCRH18C14(N2O)2,0.04712668321201354,PROXY_PORE_CORRELATION,0.04029470334176876,PROXY_PORE_CORRELATION,3.898533000660721,PROXY_PORE_CORRELATION,0.02700224994787278,PROXY_PORE_CORRELATION,TAM
finetune_000000_v04,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v04.cif,CrCoH16C12N5O2,True,0.1298527104159805,5,Co,-NH2,0.0588993669649376,"functional,substitution,defect,noise",False,True,0.160859251993535,0.1625246347055502,5.735446738076024e+25,5.794826063324034e+25,2.797412342987562,1.5385767886431592,1.0103530427462273,37,6,5.135135135135135,0.5297297297297296,0.6256840700829417,0.054054054054054,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v04.cif,ZNCRH18C14(N2O)2,0.1953488603099551,PROXY_PORE_CORRELATION,0.11945967023371444,PROXY_PORE_CORRELATION,4.677657955481581,PROXY_PORE_CORRELATION,0.12522008622376032,PROXY_PORE_CORRELATION,TAM
finetune_000000_v05,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v05.cif,ZnCrH18C15N3O2,True,0.07122375761326,2,,-CH3,0.0550869190322689,"noise,defect,functional",False,True,0.0888406470699299,0.0937312418202733,3.167618853942398e+25,3.3419933170863423e+25,2.124413599709269,1.2,1.0550490671966164,40,6,4.975,0.5225,0.6658995586589784,0.05,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v05.cif,ZNCRH18C14(N2O)2,0.08912797372219161,PROXY_PORE_CORRELATION,0.06033197670650126,PROXY_PORE_CORRELATION,4.268251114426369,PROXY_PORE_CORRELATION,0.06019837571156718,PROXY_PORE_CORRELATION,TAM
finetune_000000_v06,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v06.cif,ZnCrH18C12(N3O)2,True,0.0602968556533172,2,,-NH2,0.0843935899800196,"functional,defect,noise",False,True,0.1102370798133842,0.1180925143806987,3.930510007942296e+25,4.210596021068134e+25,2.3845589989805527,1.311507449439304,1.0712594580753831,40,6,5.05,0.51875,0.6658995586589784,0.05,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v06.cif,ZNCRH18C14(N2O)2,0.1102494066851614,PROXY_PORE_CORRELATION,0.0820274538839283,PROXY_PORE_CORRELATION,4.117075019188978,PROXY_PORE_CORRELATION,0.08522108335177386,PROXY_PORE_CORRELATION,TAM
finetune_000001_v00,finetune_000001,ErH4(CO2)4,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v00.cif,ErH4(CO2)4,False,0.0,0,,,0.0,none,False,False,0.0236006670386222,0.05,9.4800095235009e+24,2.008419827284324e+25,1.5,1.2,2.118584187395024,34,4,9.411764705882351,0.6088235294117648,0.7877935960643498,0.0588235294117647,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v00.cif,ERH4(CO2)4,0.025897415695590214,PROXY_PORE_CORRELATION,0.01893582314153183,PROXY_PORE_CORRELATION,4.765950152919187,PROXY_PORE_CORRELATION,0.010188621511930415,PROXY_PORE_CORRELATION,TAM
finetune_000001_v01,finetune_000001,ErH4(CO2)4,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v01.cif,Er2H7C7O15,True,0.1060939052373065,3,,,0.1491701498316607,"defect,noise",False,False,0.0363033939524147,0.0736989475703435,1.458249124234873e+25,2.960368551005317e+25,1.7982537177351394,1.2,2.0300842303324464,31,4,9.838709677419354,0.6177419354838711,0.7877935960643498,0.064516129032258,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v01.cif,ERH4(CO2)4,0.03467549150650509,PROXY_PORE_CORRELATION,0.024167354404631095,PROXY_PORE_CORRELATION,3.968613297471879,PROXY_PORE_CORRELATION,0.020661612983942434,PROXY_PORE_CORRELATION,TAM
finetune_000001_v02,finetune_000001,ErH4(CO2)4,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v02.cif,Er2H7C7O16,True,0.0742160924361814,2,,,0.1352052956717543,"defect,noise",False,False,0.0240514168373069,0.05,9.661068490065468e+24,2.008419827284324e+25,1.5,1.2,2.0788796077261984,32,4,9.78125,0.6171875,0.7877935960643498,0.0625,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v02.cif,ERH4(CO2)4,0.024387241452103112,PROXY_PORE_CORRELATION,0.01594791088031641,PROXY_PORE_CORRELATION,3.3386330666696717,PROXY_PORE_CORRELATION,0.01255918028925938,PROXY_PORE_CORRELATION,TAM
